invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total
19,WALM053,Conroe,Food and beverages,54.67,3,21-01-2019,18:00:00,Credit card,8.6,0.57,164.01
20,WALM013,Irving,Home and lifestyle,40.3,2,11-03-2019,15:30:00,Ewallet,4.4,0.48,80.6
21,WALM044,Pharr,Electronic accessories,86.04,5,25-02-2019,11:24:00,Ewallet,4.8,0.48,430.2
22,WALM088,Cleburne,Health and beauty,87.98,3,05-03-2019,10:40:00,Ewallet,5.1,0.33,263.94
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2,15-03-2019,12:20:00,Credit card,4.4,0.33,66.4
24,WALM067,Haltom City,Electronic accessories,34.56,5,17-02-2019,11:15:00,Ewallet,9.9,0.33,172.8
25,WALM023,Midland,Sports and travel,88.63,3,02-03-2019,17:36:00,Ewallet,6,0.48,265.89
26,WALM001,Houston,Home and lifestyle,52.59,8,22-03-2019,19:20:00,Credit card,8.5,0.36,420.72
27,WALM072,Lancaster,Fashion accessories,33.52,1,08-02-2019,15:31:00,Cash,6.7,0.33,33.52
28,WALM046,Temple,Fashion accessories,87.67,2,10-03-2019,12:17:00,Credit card,7.7,0.48,175.34
29,WALM012,Garland,Food and beverages,88.36,5,25-01-2019,19:48:00,Cash,9.6,0.48,441.8
30,WALM075,San Marcos,Health and beauty,24.89,9,15-03-2019,15:36:00,Cash,7.4,0.33,224.01
31,WALM076,Huntsville,Fashion accessories,94.13,5,25-02-2019,19:39:00,Credit card,4.8,0.33,470.65
32,WALM098,Mineral Wells,Sports and travel,78.07,9,28-01-2019,12:43:00,Cash,4.5,0.18,702.63
33,WALM021,McAllen,Sports and travel,83.78,8,10-01-2019,14:49:00,Cash,5.1,0.48,670.24
34,WALM096,Eagle Pass,Health and beauty,96.58,2,15-03-2019,10:12:00,Credit card,5.1,0.18,193.16
35,WALM022,Mesquite,Food and beverages,99.42,4,06-02-2019,10:42:00,Ewallet,7.5,0.48,397.68
36,WALM095,Big Spring,Sports and travel,68.12,1,07-01-2019,12:28:00,Ewallet,6.8,0.33,68.12
37,WALM041,Mission,Sports and travel,62.62,5,10-03-2019,19:15:00,Ewallet,7,0.48,313.1
38,WALM070,Hurst,Electronic accessories,60.88,9,15-01-2019,17:17:00,Ewallet,4.7,0.33,547.92
39,WALM070,Hurst,Health and beauty,54.92,8,23-03-2019,13:24:00,Ewallet,7.6,0.33,439.36
40,WALM030,Richardson,Home and lifestyle,30.12,8,03-03-2019,13:01:00,Cash,7.7,0.48,240.96
41,WALM033,Pearland,Home and lifestyle,86.72,1,17-01-2019,18:45:00,Ewallet,7.9,0.48,86.72
42,WALM088,Cleburne,Home and lifestyle,56.11,2,02-02-2019,10:11:00,Cash,6.3,0.33,112.22
43,WALM079,La Porte,Sports and travel,69.12,6,08-02-2019,13:03:00,Cash,5.6,0.33,414.72
44,WALM042,Bryan,Food and beverages,98.7,8,04-03-2019,20:39:00,Cash,7.6,0.48,789.6
45,WALM036,Allen,Health and beauty,15.37,2,16-03-2019,19:47:00,Cash,7.2,0.48,30.74
46,WALM056,Rowlett,Electronic accessories,93.96,4,09-03-2019,18:00:00,Cash,9.5,0.33,375.84
47,WALM058,Port Arthur,Health and beauty,56.69,9,27-02-2019,17:24:00,Credit card,8.4,0.33,510.21
48,WALM015,Grand Prairie,Food and beverages,20.01,9,06-02-2019,15:47:00,Ewallet,4.1,0.48,180.09
49,WALM063,Georgetown,Electronic accessories,18.93,6,10-02-2019,12:45:00,Credit card,8.1,0.33,113.58
50,WALM021,McAllen,Fashion accessories,82.63,10,19-03-2019,17:08:00,Ewallet,7.9,0.48,826.3
51,WALM089,Southlake,Food and beverages,91.4,7,03-02-2019,10:19:00,Cash,9.5,0.33,639.8
52,WALM093,Angleton,Food and beverages,44.59,5,10-02-2019,15:10:00,Cash,8.5,0.33,222.95
53,WALM041,Mission,Fashion accessories,17.87,4,22-03-2019,14:42:00,Ewallet,6.5,0.48,71.48
54,WALM045,Missouri City,Fashion accessories,15.43,1,25-01-2019,15:46:00,Credit card,6.1,0.48,15.43
55,WALM005,Fort Worth,Home and lifestyle,16.16,2,07-03-2019,11:49:00,Ewallet,6.5,0.48,32.32
56,WALM042,Bryan,Electronic accessories,85.98,8,28-02-2019,19:01:00,Cash,8.2,0.48,687.84
57,WALM003,San Antonio,Home and lifestyle,44.34,2,27-03-2019,11:26:00,Cash,5.8,0.36,88.68
58,WALM070,Hurst,Health and beauty,89.6,8,07-02-2019,11:28:00,Ewallet,6.6,0.33,716.8
59,WALM066,Grapevine,Home and lifestyle,72.35,10,20-01-2019,15:55:00,Cash,5.4,0.33,723.5
60,WALM031,Lewisville,Electronic accessories,30.61,6,12-03-2019,20:36:00,Cash,9.3,0.48,183.66
61,WALM042,Bryan,Sports and travel,24.74,3,15-02-2019,17:47:00,Credit card,10,0.48,74.22
62,WALM078,Del Rio,Home and lifestyle,55.73,6,24-02-2019,10:55:00,Ewallet,7,0.33,334.38
63,WALM037,League City,Sports and travel,55.07,9,03-02-2019,13:40:00,Ewallet,10,0.48,495.63
64,WALM069,Rockwall,Sports and travel,15.81,10,06-03-2019,12:27:00,Credit card,8.6,0.33,158.1
65,WALM087,Waxahachie,Health and beauty,75.74,4,14-02-2019,14:35:00,Cash,7.6,0.33,302.96
66,WALM042,Bryan,Health and beauty,15.87,10,13-03-2019,16:40:00,Cash,5.8,0.48,158.7
67,WALM020,Killeen,Health and beauty,33.47,2,10-02-2019,15:43:00,Ewallet,6.7,0.48,66.94
68,WALM029,Round Rock,Fashion accessories,97.61,6,07-01-2019,15:01:00,Ewallet,9.9,0.48,585.66
69,WALM079,La Porte,Sports and travel,78.77,10,24-01-2019,10:04:00,Cash,6.4,0.33,787.7
70,WALM035,San Angelo,Health and beauty,18.33,1,02-02-2019,18:50:00,Cash,4.3,0.48,18.33
71,WALM007,Arlington,Food and beverages,89.48,10,06-01-2019,12:46:00,Credit card,9.6,0.48,894.8
72,WALM017,McKinney,Fashion accessories,62.12,10,11-02-2019,16:19:00,Cash,5.9,0.48,621.2
73,WALM096,Eagle Pass,Food and beverages,48.52,3,05-03-2019,18:17:00,Ewallet,4,0.18,145.56
74,WALM083,Farmers Branch,Electronic accessories,75.91,6,09-03-2019,18:21:00,Cash,8.7,0.33,455.46
75,WALM072,Lancaster,Home and lifestyle,74.67,9,22-01-2019,10:55:00,Ewallet,9.4,0.33,672.03
76,WALM003,San Antonio,Electronic accessories,41.65,10,13-01-2019,17:04:00,Credit card,5.4,0.48,416.5
77,WALM058,Port Arthur,Fashion accessories,49.04,9,09-01-2019,14:20:00,Credit card,8.6,0.33,441.36
78,WALM094,Alamo,Fashion accessories,20.01,9,12-01-2019,15:48:00,Credit card,5.7,0.33,180.09
79,WALM063,Georgetown,Food and beverages,78.31,10,05-03-2019,16:24:00,Ewallet,6.6,0.33,783.1
80,WALM071,Lufkin,Health and beauty,20.38,5,22-01-2019,18:56:00,Cash,6,0.33,101.9
81,WALM061,Cedar Park,Health and beauty,99.19,6,21-01-2019,14:42:00,Credit card,5.5,0.33,595.14
82,WALM090,Brownwood,Food and beverages,96.68,3,26-01-2019,19:56:00,Ewallet,6.4,0.33,290.04
83,WALM061,Cedar Park,Food and beverages,19.25,8,23-01-2019,18:37:00,Ewallet,6.6,0.33,154
84,WALM041,Mission,Food and beverages,80.36,4,23-02-2019,18:45:00,Ewallet,8.3,0.48,321.44
85,WALM097,Alice,Sports and travel,48.91,5,09-03-2019,10:17:00,Cash,6.6,0.18,244.55
86,WALM043,Baytown,Sports and travel,83.06,7,05-03-2019,14:31:00,Ewallet,4,0.48,581.42
87,WALM042,Bryan,Fashion accessories,76.52,5,25-03-2019,10:23:00,Cash,9.9,0.48,382.6
88,WALM046,Temple,Food and beverages,49.38,7,27-03-2019,20:35:00,Credit card,7.3,0.48,345.66
89,WALM011,Lubbock,Sports and travel,42.47,1,02-01-2019,16:57:00,Cash,5.7,0.48,42.47
90,WALM064,Bedford,Health and beauty,76.99,6,27-02-2019,17:55:00,Cash,6.1,0.33,461.94
91,WALM095,Big Spring,Home and lifestyle,47.38,4,23-01-2019,10:25:00,Cash,7.1,0.33,189.52
92,WALM049,North Richland Hills,Sports and travel,44.86,10,26-01-2019,19:54:00,Ewallet,8.2,0.48,448.6
93,WALM040,Edinburg,Sports and travel,21.98,7,10-01-2019,16:42:00,Ewallet,5.1,0.48,153.86
94,WALM065,Texas City,Health and beauty,64.36,9,12-03-2019,12:09:00,Credit card,8.6,0.33,579.24
95,WALM075,San Marcos,Health and beauty,89.75,1,06-02-2019,20:05:00,Credit card,6.6,0.33,89.75
96,WALM034,College Station,Electronic accessories,97.16,1,08-03-2019,20:38:00,Ewallet,7.2,0.48,97.16
97,WALM014,Amarillo,Health and beauty,87.87,10,29-03-2019,10:25:00,Ewallet,5.1,0.48,878.7
98,WALM096,Eagle Pass,Electronic accessories,12.45,6,09-02-2019,13:11:00,Cash,4.1,0.18,74.7
99,WALM004,Austin,Food and beverages,52.75,3,23-03-2019,10:16:00,Ewallet,9.3,0.48,158.25
100,WALM011,Lubbock,Home and lifestyle,82.7,6,05-03-2019,18:14:00,Cash,7.4,0.48,496.2
101,WALM075,San Marcos,Fashion accessories,48.71,1,26-03-2019,19:20:00,Cash,4.1,0.33,48.71
102,WALM057,Euless,Fashion accessories,78.55,9,01-03-2019,13:22:00,Cash,7.2,0.33,706.95
103,WALM023,Midland,Electronic accessories,23.07,9,01-02-2019,11:27:00,Cash,4.9,0.48,207.63
104,WALM012,Garland,Food and beverages,58.26,6,28-03-2019,16:44:00,Cash,9.9,0.48,349.56
105,WALM078,Del Rio,Health and beauty,30.35,7,19-03-2019,18:19:00,Cash,8,0.33,212.45
106,WALM055,Waxahachie,Electronic accessories,88.67,10,12-01-2019,14:50:00,Ewallet,7.3,0.33,886.7
107,WALM038,Sugar Land,Fashion accessories,27.38,6,05-01-2019,20:54:00,Credit card,7.9,0.48,164.28
108,WALM049,North Richland Hills,Sports and travel,62.13,6,22-03-2019,20:19:00,Cash,7.4,0.48,372.78
109,WALM044,Pharr,Food and beverages,33.98,9,24-03-2019,10:43:00,Cash,4.2,0.48,305.82
110,WALM056,Rowlett,Electronic accessories,81.97,10,03-03-2019,14:30:00,Cash,9.2,0.33,819.7
111,WALM007,Arlington,Sports and travel,16.49,2,05-02-2019,11:32:00,Ewallet,4.6,0.48,32.98
112,WALM025,Waco,Health and beauty,98.21,3,05-02-2019,10:41:00,Credit card,7.8,0.48,294.63
113,WALM005,Fort Worth,Fashion accessories,72.84,7,15-02-2019,12:44:00,Cash,8.4,0.48,509.88
114,WALM024,Carrollton,Home and lifestyle,58.07,9,19-01-2019,20:07:00,Ewallet,4.3,0.48,522.63
115,WALM003,San Antonio,Home and lifestyle,80.79,9,01-02-2019,20:31:00,Credit card,9.5,0.36,727.11
116,WALM087,Waxahachie,Fashion accessories,27.02,3,02-03-2019,13:01:00,Credit card,7.1,0.33,81.06
117,WALM040,Edinburg,Fashion accessories,21.94,5,05-03-2019,12:29:00,Ewallet,5.3,0.48,109.7
118,WALM071,Lufkin,Fashion accessories,51.36,1,16-01-2019,15:26:00,Ewallet,5.2,0.33,51.36
119,WALM027,Abilene,Food and beverages,10.96,10,02-02-2019,20:48:00,Ewallet,6,0.48,109.6
120,WALM071,Lufkin,Home and lifestyle,53.44,2,20-01-2019,20:38:00,Ewallet,4.1,0.33,106.88
121,WALM014,Amarillo,Electronic accessories,99.56,8,14-02-2019,17:03:00,Credit card,5.2,0.48,796.48
122,WALM069,Rockwall,Sports and travel,57.12,7,12-01-2019,12:02:00,Credit card,6.5,0.33,399.84
123,WALM085,Kerrville,Sports and travel,99.96,9,09-03-2019,17:26:00,Credit card,4.2,0.33,899.64
124,WALM061,Cedar Park,Home and lifestyle,63.91,8,13-03-2019,19:52:00,Credit card,4.6,0.33,511.28
125,WALM088,Cleburne,Fashion accessories,56.47,8,09-03-2019,14:57:00,Ewallet,7.3,0.33,451.76
126,WALM034,College Station,Home and lifestyle,93.69,7,10-03-2019,18:44:00,Credit card,4.5,0.48,655.83
127,WALM016,Brownsville,Sports and travel,32.25,5,27-01-2019,13:26:00,Cash,9,0.48,161.25
128,WALM044,Pharr,Fashion accessories,31.73,9,08-01-2019,16:17:00,Credit card,5.9,0.48,285.57
129,WALM035,San Angelo,Food and beverages,68.54,8,08-01-2019,15:57:00,Ewallet,8.5,0.48,548.32
130,WALM018,Frisco,Sports and travel,90.28,9,08-02-2019,11:15:00,Ewallet,7.2,0.48,812.52
131,WALM022,Mesquite,Fashion accessories,39.62,7,25-01-2019,13:18:00,Cash,7.5,0.48,277.34
132,WALM068,Burleson,Sports and travel,92.13,6,06-03-2019,20:34:00,Cash,8.3,0.33,552.78
133,WALM055,Waxahachie,Sports and travel,34.84,4,10-02-2019,18:36:00,Cash,7.4,0.33,139.36
134,WALM002,Dallas,Electronic accessories,87.45,6,17-02-2019,14:40:00,Credit card,8.8,0.36,524.7
135,WALM062,Galveston,Health and beauty,81.3,6,08-03-2019,16:43:00,Ewallet,5.3,0.33,487.8
136,WALM098,Mineral Wells,Fashion accessories,90.22,3,18-02-2019,19:39:00,Cash,6.2,0.18,270.66
137,WALM027,Abilene,Electronic accessories,26.31,5,18-01-2019,20:59:00,Credit card,8.8,0.48,131.55
138,WALM093,Angleton,Home and lifestyle,34.42,6,18-02-2019,15:39:00,Cash,9.8,0.33,206.52
139,WALM029,Round Rock,Sports and travel,51.91,10,16-02-2019,12:21:00,Cash,8.2,0.48,519.1
140,WALM016,Brownsville,Sports and travel,72.5,8,16-03-2019,19:25:00,Ewallet,9.2,0.48,580
141,WALM023,Midland,Sports and travel,89.8,10,23-01-2019,13:00:00,Credit card,5.4,0.48,898
142,WALM012,Garland,Health and beauty,90.5,10,25-01-2019,13:48:00,Cash,8.1,0.48,905
143,WALM052,Mansfield,Health and beauty,68.6,10,05-02-2019,19:57:00,Cash,9.1,0.57,686
144,WALM097,Alice,Food and beverages,30.41,1,22-02-2019,10:36:00,Credit card,8.4,0.18,30.41
145,WALM045,Missouri City,Home and lifestyle,77.95,6,21-01-2019,16:37:00,Credit card,8,0.48,467.7
146,WALM047,Flower Mound,Health and beauty,46.26,6,08-03-2019,17:11:00,Credit card,9.5,0.48,277.56
147,WALM026,Denton,Fashion accessories,30.14,10,10-02-2019,12:28:00,Ewallet,9.2,0.48,301.4
148,WALM054,Sherman,Health and beauty,66.14,4,19-03-2019,12:46:00,Credit card,5.6,0.21,264.56
149,WALM049,North Richland Hills,Home and lifestyle,71.86,8,06-03-2019,15:07:00,Credit card,6.2,0.48,574.88
150,WALM065,Texas City,Health and beauty,32.46,8,27-03-2019,13:48:00,Credit card,4.9,0.33,259.68
151,WALM016,Brownsville,Fashion accessories,91.54,4,23-03-2019,19:20:00,Credit card,4.8,0.48,366.16
152,WALM070,Hurst,Sports and travel,34.56,7,11-03-2019,16:07:00,Credit card,7.3,0.33,241.92
153,WALM099,Weatherford,Fashion accessories,83.24,9,29-01-2019,11:56:00,Credit card,7.4,0.18,749.16
154,WALM071,Lufkin,Food and beverages,16.48,6,07-02-2019,18:23:00,Ewallet,9.9,0.33,98.88
155,WALM078,Del Rio,Sports and travel,80.97,8,28-01-2019,13:05:00,Cash,9.3,0.33,647.76
156,WALM074,Weslaco,Food and beverages,92.29,5,20-02-2019,15:55:00,Cash,9,0.33,461.45
157,WALM042,Bryan,Electronic accessories,72.17,1,04-01-2019,19:40:00,Cash,6.1,0.48,72.17
158,WALM013,Irving,Home and lifestyle,50.28,5,07-03-2019,13:58:00,Ewallet,9.7,0.48,251.4
159,WALM100,Canyon,Health and beauty,97.22,9,30-03-2019,14:43:00,Ewallet,6,0.18,874.98
160,WALM094,Alamo,Sports and travel,93.39,6,27-03-2019,19:18:00,Ewallet,10,0.33,560.34
161,WALM028,Odessa,Food and beverages,43.18,8,19-01-2019,19:39:00,Credit card,8.3,0.48,345.44
162,WALM019,Pasadena,Sports and travel,63.69,1,25-02-2019,16:21:00,Cash,6,0.48,63.69
163,WALM011,Lubbock,Food and beverages,45.79,7,13-03-2019,19:44:00,Credit card,7,0.48,320.53
164,WALM084,Schertz,Sports and travel,76.4,2,30-01-2019,19:42:00,Ewallet,6.5,0.33,152.8
165,WALM057,Euless,Food and beverages,39.9,10,20-02-2019,15:24:00,Credit card,5.9,0.33,399
166,WALM088,Cleburne,Health and beauty,42.57,8,25-02-2019,14:12:00,Ewallet,5.6,0.33,340.56
167,WALM061,Cedar Park,Home and lifestyle,95.58,10,16-01-2019,13:32:00,Cash,4.8,0.33,955.8
168,WALM040,Edinburg,Fashion accessories,98.98,10,08-02-2019,16:20:00,Credit card,8.7,0.48,989.8
169,WALM069,Rockwall,Food and beverages,51.28,6,19-01-2019,16:31:00,Cash,6.5,0.33,307.68
170,WALM089,Southlake,Sports and travel,69.52,7,01-02-2019,15:10:00,Credit card,8.5,0.33,486.64
171,WALM031,Lewisville,Health and beauty,70.01,5,03-01-2019,11:36:00,Ewallet,5.5,0.48,350.05
172,WALM039,Longview,Food and beverages,80.05,5,26-01-2019,12:45:00,Credit card,9.4,0.48,400.25
173,WALM039,Longview,Electronic accessories,20.85,8,03-03-2019,19:17:00,Cash,6.3,0.48,166.8
174,WALM047,Flower Mound,Electronic accessories,52.89,6,19-01-2019,17:34:00,Credit card,9.8,0.48,317.34
175,WALM071,Lufkin,Food and beverages,19.79,8,18-01-2019,12:04:00,Ewallet,8.7,0.33,158.32
176,WALM060,DeSoto,Home and lifestyle,33.84,9,21-03-2019,16:21:00,Ewallet,8.8,0.33,304.56
177,WALM073,Seguin,Food and beverages,22.17,8,03-03-2019,17:01:00,Credit card,9.6,0.33,177.36
178,WALM059,Pflugerville,Fashion accessories,22.51,7,13-02-2019,10:50:00,Credit card,4.8,0.33,157.57
179,WALM012,Garland,Food and beverages,73.88,6,23-03-2019,19:16:00,Ewallet,4.4,0.48,443.28
180,WALM086,Rosenberg,Health and beauty,86.8,3,28-01-2019,16:47:00,Ewallet,9.9,0.33,260.4
181,WALM073,Seguin,Fashion accessories,64.26,7,09-02-2019,10:00:00,Cash,5.7,0.33,449.82
182,WALM028,Odessa,Food and beverages,38.47,8,23-01-2019,11:51:00,Cash,7.7,0.48,307.76
183,WALM053,Conroe,Sports and travel,15.5,10,23-03-2019,10:55:00,Ewallet,8,0.57,155
184,WALM024,Carrollton,Health and beauty,34.31,8,25-01-2019,15:00:00,Ewallet,5.7,0.48,274.48
185,WALM097,Alice,Sports and travel,12.34,7,04-03-2019,11:19:00,Credit card,6.7,0.18,86.38
186,WALM072,Lancaster,Food and beverages,18.08,3,05-03-2019,19:46:00,Ewallet,8,0.33,54.24
187,WALM023,Midland,Home and lifestyle,94.49,8,03-03-2019,19:00:00,Ewallet,7.5,0.48,755.92
188,WALM038,Sugar Land,Home and lifestyle,46.47,4,08-02-2019,10:53:00,Cash,7,0.48,185.88
189,WALM078,Del Rio,Home and lifestyle,74.07,1,10-02-2019,12:50:00,Ewallet,9.9,0.33,74.07
190,WALM084,Schertz,Home and lifestyle,69.81,4,28-01-2019,20:50:00,Credit card,5.9,0.33,279.24
191,WALM059,Pflugerville,Home and lifestyle,77.04,3,11-02-2019,10:39:00,Credit card,7.2,0.33,231.12
192,WALM062,Galveston,Fashion accessories,73.52,2,15-01-2019,13:41:00,Ewallet,4.6,0.33,147.04
193,WALM090,Brownwood,Food and beverages,87.8,9,16-03-2019,19:08:00,Cash,9.2,0.33,790.2
194,WALM015,Grand Prairie,Home and lifestyle,25.55,4,26-01-2019,20:23:00,Ewallet,5.7,0.48,102.2
195,WALM003,San Antonio,Electronic accessories,32.71,5,19-03-2019,11:30:00,Credit card,9.9,0.48,163.55
196,WALM066,Grapevine,Fashion accessories,74.29,1,13-01-2019,19:30:00,Cash,5,0.33,74.29
197,WALM079,La Porte,Health and beauty,43.7,2,26-03-2019,18:03:00,Cash,4.9,0.33,87.4
198,WALM002,Dallas,Home and lifestyle,25.29,1,23-03-2019,10:13:00,Ewallet,6.1,0.36,25.29
199,WALM094,Alamo,Health and beauty,41.5,4,12-03-2019,19:58:00,Credit card,8.2,0.33,166
200,WALM047,Flower Mound,Food and beverages,71.39,5,17-02-2019,19:57:00,Credit card,5.5,0.48,356.95
201,WALM100,Canyon,Sports and travel,19.15,6,29-01-2019,10:01:00,Credit card,6.8,0.18,114.9
202,WALM005,Fort Worth,Electronic accessories,57.49,4,15-03-2019,11:57:00,Cash,6.6,0.48,229.96
203,WALM086,Rosenberg,Electronic accessories,61.41,7,14-01-2019,10:02:00,Cash,9.8,0.33,429.87
204,WALM029,Round Rock,Health and beauty,25.9,10,06-02-2019,14:51:00,Ewallet,8.7,0.48,259
205,WALM065,Texas City,Home and lifestyle,17.77,5,15-02-2019,12:42:00,Credit card,5.4,0.33,88.85
206,WALM085,Kerrville,Health and beauty,23.03,9,03-01-2019,12:02:00,Ewallet,7.9,0.33,207.27
207,WALM034,College Station,Electronic accessories,66.65,9,04-01-2019,18:19:00,Credit card,9.7,0.48,599.85
208,WALM055,Waxahachie,Home and lifestyle,28.53,10,18-03-2019,17:38:00,Ewallet,7.8,0.33,285.3
209,WALM043,Baytown,Fashion accessories,30.37,3,28-03-2019,13:41:00,Ewallet,5.1,0.48,91.11
210,WALM003,San Antonio,Electronic accessories,99.73,9,02-03-2019,19:42:00,Credit card,6.5,0.48,897.57
211,WALM050,Victoria,Electronic accessories,26.23,9,25-01-2019,20:24:00,Ewallet,5.9,0.48,236.07
212,WALM057,Euless,Food and beverages,93.26,9,16-01-2019,18:08:00,Cash,8.8,0.33,839.34
213,WALM088,Cleburne,Home and lifestyle,92.36,5,20-03-2019,19:17:00,Ewallet,4.9,0.33,461.8
214,WALM093,Angleton,Sports and travel,46.42,3,04-01-2019,13:24:00,Credit card,4.4,0.33,139.26
215,WALM065,Texas City,Sports and travel,29.61,7,11-03-2019,15:53:00,Cash,6.5,0.33,207.27
216,WALM072,Lancaster,Home and lifestyle,18.28,1,22-03-2019,15:05:00,Credit card,8.3,0.33,18.28
217,WALM038,Sugar Land,Sports and travel,24.77,5,24-03-2019,18:27:00,Cash,8.5,0.48,123.85
218,WALM081,Friendswood,Electronic accessories,94.64,3,21-02-2019,16:55:00,Cash,5.5,0.33,283.92
219,WALM043,Baytown,Fashion accessories,94.87,8,12-02-2019,12:58:00,Ewallet,8.7,0.48,758.96
220,WALM044,Pharr,Food and beverages,57.34,3,10-03-2019,18:59:00,Credit card,7.9,0.48,172.02
221,WALM002,Dallas,Electronic accessories,45.35,6,31-01-2019,13:44:00,Ewallet,6.1,0.36,272.1
222,WALM056,Rowlett,Food and beverages,62.08,7,06-03-2019,13:46:00,Ewallet,5.4,0.33,434.56
223,WALM020,Killeen,Electronic accessories,11.81,5,17-02-2019,18:06:00,Cash,9.4,0.48,59.05
224,WALM026,Denton,Fashion accessories,12.54,1,21-02-2019,12:38:00,Cash,8.2,0.48,12.54
225,WALM003,San Antonio,Food and beverages,43.25,2,20-03-2019,15:56:00,Cash,6.2,0.48,86.5
226,WALM067,Haltom City,Sports and travel,87.16,2,11-01-2019,14:29:00,Credit card,9.7,0.33,174.32
227,WALM059,Pflugerville,Health and beauty,69.37,9,26-01-2019,19:14:00,Ewallet,4,0.33,624.33
228,WALM068,Burleson,Electronic accessories,37.06,4,31-01-2019,16:24:00,Ewallet,9.7,0.33,148.24
229,WALM049,North Richland Hills,Electronic accessories,90.7,6,26-02-2019,10:52:00,Cash,5.3,0.48,544.2
230,WALM087,Waxahachie,Home and lifestyle,63.42,8,11-03-2019,12:55:00,Ewallet,7.4,0.33,507.36
231,WALM007,Arlington,Fashion accessories,81.37,2,26-01-2019,19:28:00,Cash,6.5,0.48,162.74
232,WALM024,Carrollton,Electronic accessories,10.59,3,12-03-2019,13:52:00,Credit card,8.7,0.48,31.77
233,WALM059,Pflugerville,Health and beauty,84.09,9,11-02-2019,10:54:00,Cash,8,0.33,756.81
234,WALM045,Missouri City,Fashion accessories,73.82,4,21-02-2019,18:31:00,Credit card,6.7,0.48,295.28
235,WALM069,Rockwall,Health and beauty,51.94,10,09-03-2019,18:24:00,Ewallet,6.5,0.33,519.4
236,WALM084,Schertz,Sports and travel,93.14,2,20-01-2019,18:09:00,Ewallet,4.1,0.33,186.28
237,WALM068,Burleson,Health and beauty,17.41,5,28-01-2019,15:16:00,Credit card,4.9,0.33,87.05
238,WALM023,Midland,Fashion accessories,44.22,5,05-03-2019,17:07:00,Credit card,8.6,0.48,221.1
239,WALM040,Edinburg,Electronic accessories,13.22,5,02-03-2019,19:26:00,Cash,4.3,0.48,66.1
240,WALM085,Kerrville,Fashion accessories,89.69,1,11-01-2019,11:20:00,Ewallet,4.9,0.33,89.69
241,WALM009,Plano,Food and beverages,24.94,9,11-01-2019,16:49:00,Credit card,5.6,0.48,224.46
242,WALM100,Canyon,Health and beauty,59.77,2,11-03-2019,12:01:00,Credit card,5.8,0.18,119.54
243,WALM077,Coppell,Fashion accessories,93.2,2,28-02-2019,18:37:00,Credit card,6,0.33,186.4
244,WALM034,College Station,Home and lifestyle,62.65,4,05-01-2019,11:25:00,Cash,4.2,0.48,250.6
245,WALM070,Hurst,Home and lifestyle,93.87,8,02-02-2019,18:42:00,Credit card,8.3,0.33,750.96
246,WALM021,McAllen,Home and lifestyle,47.59,8,01-01-2019,14:47:00,Cash,5.7,0.48,380.72
247,WALM044,Pharr,Electronic accessories,81.4,3,09-02-2019,19:43:00,Cash,4.8,0.48,244.2
248,WALM055,Waxahachie,Fashion accessories,17.94,5,23-01-2019,14:04:00,Ewallet,6.8,0.33,89.7
